Country,Continent,Region,Debt2GDP,TotalDebt,GDP,PercentDebt,Above100
United States,North America,North America,0.74,12908400000000,17350000000000,0.20,0.00
Japan,Asia,Eastern Asia,2.32,11054673000000,4767000000000,0.18,1.00
India,Asia,South-Central Asia,0.52,3831487000000,7411000000000,0.06,0.00
Italy,Europe,Southern Europe,1.32,2818200000000,2135000000000,0.04,1.00
Germany,Europe,Western Europe,0.74,2784764000000,3748000000000,0.04,0.00
China,Asia,Eastern Asia,0.15,2695410000000,18090000000000,0.04,0.00
France,Europe,Western Europe,0.96,2474405000000,2591000000000,0.04,0.00
United Kingdom,Europe,Northern Europe,0.88,2263289000000,2569000000000,0.04,0.00
Brazil,South America,Central Eastern South America,0.59,1929564000000,3276000000000,0.03,0.00
Spain,Europe,Southern Europe,0.98,1535844000000,1572000000000,0.02,0.00
Canada,North America,North North America,0.95,1513008000000,1596000000000,0.02,0.00
Mexico,North America,North America,0.42,904729000000,2149000000000,0.01,0.00
Egypt,Middle East,Middle East,0.94,886964200000,946600000000,0.01,0.00
Indonesia,Asia,Maritime South-East Asia,0.26,695674000000,2686000000000,0.01,0.00
"Korea, South",Asia,Eastern Asia,0.35,615480000000,1784000000000,0.01,0.00
Pakistan,Middle East,South-Central Asia,0.64,568540600000,884200000000,0.01,0.00
Netherlands,Europe,Western Europe,0.69,558072000000,808800000000,0.01,0.00
Turkey,Europe,Southeastern Europe,0.35,530250000000,1515000000000,0.01,0.00
Belgium,Europe,Western Europe,1.06,513747900000,483300000000,0.01,1.00
Greece,Europe,Southern Europe,1.77,505266300000,285300000000,0.01,1.00
Thailand,Asia,South-East Asia,0.46,495410000000,1070000000000,0.01,0.00
Russia,Asia,Eastern Europe,0.13,479318000000,3577000000000,0.01,0.00
Singapore,Asia,Southeast Asia,1.03,468837600000,454300000000,0.01,1.00
Australia,Australia,Australia/Oceania,0.42,466400000000,1100000000000,0.01,0.00
Poland,Europe,Eastern Europe,0.44,419432600000,959800000000,0.01,0.00
Other,Other,Other,0.38,9234300378200,24112113400000,0.15,0.00
